movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
114,"Face of Terror	","Face of Terror	",33,33,#N/A,#N/A,#N/A,
115,The Hills Have Eyes (2006),The Hills Have Eyes (2006),19,"15, 1 fish, 1 lizard, 1 dog and 1 bird",#N/A,#N/A,#N/A,
116,Petrified,Petrified,9,"6 people and 1 alien mummy destroyed by salt like a slug. Also, one woman's hair and one FBI partner mysteriously disappeared between one scene and the next.",#N/A,#N/A,#N/A,
117,Komodo vs. Cobra,Komodo vs. Cobra,19,"15, plus 1 yacht, 2 giant komodos and 1 giant cobra",#N/A,#N/A,#N/A,
118,Kid with the Golden Arms,Kid with the Golden Arms,70,70,#N/A,#N/A,#N/A,
119,"Adrenalin: Fear the Rush	","Adrenalin: Fear the Rush	",17,17,#N/A,#N/A,#N/A,
120,Python,Python,15,14 and 1 giant genetically-enhanced python,#N/A,#N/A,#N/A,
121,The Nest,The Nest,48,"7 people, 1 dog, 1 rat, 1 cat-roach, 1 roach-man, 1 Roach Master Deluxe and at least 36 roaches",#N/A,#N/A,#N/A,
122,"The Life Aquatic with Steve Zissou	","The Life Aquatic with Steve Zissou	 ",13,"11, 1 research turtle and 1 rhinestone bluefin",#N/A,#N/A,#N/A,
123,Night Train to Terror,Night Train to Terror,27,16 and 11 musicians,#N/A,#N/A,#N/A,
124,Platoon,Platoon,570,569 and a pig,12/19/86,6000000,132761962,
125,Napoleon Dynamite,Napoleon Dynamite,1,1 cow,6/11/04,400000,44540956,
126,Party Monster,Party Monster,3,3,8/29/03,5000000,742898,
127,Alpha Dog,Alpha Dog,1,1,#N/A,#N/A,#N/A,
128,"The Hitcher 	","The Hitcher 	 ",23,"21 people, 1 rabbit and 1 dragonfly",#N/A,#N/A,#N/A,
129,Terminator,Terminator,39,"37, 1 machine and 1 terminator",#N/A,#N/A,#N/A,
130,Terminator 2: Judgment Day,Terminator 2: Judgment Day,13,"10, 1 flying machine and 2 terminators",7/2/91,100000000,201858746,
131,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,17,"17	",7/9/03,125000000,305411224,
132,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,57,56 and a hermit crab,7/7/06,225000000,423315812,
133,"Pirates of the Caribbean: At World's End	","Pirates of the Caribbean: At World's End	",88,88,#N/A,#N/A,#N/A,
134,Domino,Domino,24,22 and 2 goldfish,10/14/05,50000000,10169202,
135,Apocalypto,Apocalypto,66,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake",12/8/06,40000000,50866635,
136,"Farce of the Penguins	","Farce of the Penguins	",3,3 penguins died and Samuel L. Jackson said motherfucker one time.,#N/A,#N/A,#N/A,
137,Monster,Monster,4,4,12/24/03,5000000,34469210,
138,Smokin' Aces,Smokin' Aces,35,35,1/26/07,17000000,35662731,
139,Tremors 3: Back to Perfection,Tremors 3: Back to Perfection,45,"5 people, 30 shreikers, 2 cows, 1 graboid and 7 assblasters",#N/A,#N/A,#N/A,
140,V for Vendetta,V for Vendetta,64,64,3/17/06,50000000,70511035,
141,Midnight Cowboy,Midnight Cowboy,1,1,#N/A,#N/A,44785053,
142,Swordfish,Swordfish,37,36 and a yacht,6/8/01,80000000,69772969,
143,"Blood and Chocolate	","Blood and Chocolate	",12,12,#N/A,#N/A,#N/A,
144,"Heat	","Heat	",18,18,#N/A,#N/A,#N/A,
145,The Dead Girl,The Dead Girl,1,1,12/29/06,3300000,19875,
146,The Messengers,The Messengers,6,4 and 2 crows,2/2/07,16000000,35374833,
147,The Thirst,The Thirst,191,"39, a club full of people and 2 cats	",#N/A,#N/A,#N/A,
148,Jarhead,Jarhead,753,"752 and a scorpion	",11/4/05,72000000,62647540,
149,Mr. Brooks,Mr. Brooks,8,8,#N/A,#N/A,#N/A,
150,Tremors 4: The Legend Begins,Tremors 4: The Legend Begins,33,29 and 4 dirt-dragons,#N/A,#N/A,#N/A,
151,Starsky & Hutch,Starsky & Hutch,3,"1, an iguana tail and a pony",3/5/04,60000000,88200225,
152,Reno 911!: Miami: The Movie,Reno 911!: Miami: The Movie,7,"5 people, 1 whale, and an ice cream truck",#N/A,#N/A,#N/A,
153,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,3000000022,"3,000,000,017, one TX, two T-1's, one T-101, and one flying thing",7/1/03,170000000,150358296,
154,"History of Violence, A History of Violence","History of Violence, A History of Violence",13,13,#N/A,#N/A,#N/A,
155,Ghost Rider,Ghost Rider,26,"21, 4 demons and an iguana	",2/16/07,120000000,115802596,
156,Art School Confidential,Art School Confidential,153,3 and an apartment building,#N/A,#N/A,#N/A,
157,Biker Boyz,Biker Boyz,2,2,#N/A,#N/A,#N/A,
158,Striptease,Striptease,2,2,6/28/96,50000000,32758418,
159,Live Free or Die Hard,Live Free or Die Hard,41,41,6/27/07,110000000,134529403,
160,We Were Soldiers,We Were Soldiers,1753,"1,753",3/1/02,70000000,78120196,
161,Saw,Saw,7,6 and a foot,10/29/04,1200000,55968727,
162,Saw II,Saw II,9,9,10/28/05,5000000,87025093,
163,"Network	","Network	",2,2,#N/A,#N/A,#N/A,
164,Flesh+Blood,Flesh+Blood,40,"38, plus a dog and a stillborn baby",#N/A,#N/A,#N/A,
165,Derailed,Derailed,5,5,11/11/05,22000000,36020063,
166,Saving Silverman,Saving Silverman,1,1,2/9/01,22000000,19351569,
167,Big Nothing,Big Nothing,5,5,#N/A,#N/A,#N/A,
168,Saw III,Saw III,9,9,10/27/06,10000000,80238724,
169,Premonition,Premonition,3,2 people and 1 crow,3/16/07,20000000,47852604,
170,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,6486329384,"Planet Earth, minus 2 people, minus 2 aliens, and minus all of the dolphins. Plus 2 crabs, 1 sperm whale, 1 bowl of petunias and an entire battle fleet of strange and warlike beings resplendent in black jeweled battle shorts. Plus two mice.",4/29/05,45000000,51019112,
171,The Number 23,The Number 23,3,3,2/23/07,32000000,35193167,
172,My Super Ex-Girlfriend,My Super Ex-Girlfriend,1,1 shark,7/21/06,30000000,22530295,
173,The Contract (2006),The Contract (2006),14,14,#N/A,#N/A,#N/A,
174,Shaun of the Dead,Shaun of the Dead,35,34 and a pigeon,9/24/04,5000000,13464388,
175,Evil Dead (1981),Evil Dead (1981),4,4,#N/A,#N/A,#N/A,
176,Evil Dead 2: Dead by Dawn,Evil Dead 2: Dead by Dawn,7,6 and a flying demon,#N/A,#N/A,#N/A,
177,A Nightmare on Elm Street,A Nightmare on Elm Street ,4,4,11/9/84,1800000,63075011,
178,"Venom	","Venom	",11,11,#N/A,#N/A,#N/A,
179,"Pathfinder	","Pathfinder	",243,"240, 2 horses and 1 bear	",#N/A,#N/A,#N/A,
180,Hot Fuzz,Hot Fuzz,17,17,4/20/07,16000000,23618786,
181,Bats,Bats,10264,"28 people and 10,236 bats",10/22/99,6500000,10155691,
182,"Things to Do in Denver When You're Dead	","Things to Do in Denver When You're Dead	",15,15,#N/A,#N/A,#N/A,
183,"Mystery Men	","Mystery Men	",106,6 and a blown-up asylum,#N/A,#N/A,#N/A,
184,The Notebook,The Notebook,6,6,6/25/04,30000000,81001787,
185,"Slow Burn	","Slow Burn	",8,7 and a fly,#N/A,#N/A,#N/A,
186,Two Brothers,Two Brothers,2,2 tigers,6/25/04,72000000,18947630,
187,I Think I Love My Wife,I Think I Love My Wife,2,2 policemen,3/16/07,14000000,12550605,
188,"Hostel	","Hostel	",12,12,#N/A,#N/A,#N/A,
189,187,187,6,"4 people, 1 rat and 1 dog. Samuel L. Jackson did not say motherfucker even once. Very disappointing.",#N/A,#N/A,#N/A,
190,The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,82,82,7/11/03,78000000,66465204,
191,A Nightmare on Elm Street 2: Freddy's Revenge,A Nightmare on Elm Street 2: Freddy's Revenge,11,"4, plus 2 birds, 1 rat and 4 fish",#N/A,#N/A,#N/A,
192,Wet Hot American Summer,Wet Hot American Summer,2,2,#N/A,#N/A,#N/A,
193,Disturbia,Disturbia,6,"4, 1 deer and 1 rabbit",4/13/07,20000000,80106701,
194,Menace II Society,Menace II Society,8,8,5/26/93,3500000,27731527,
195,Practical Magic,Practical Magic,4,4,10/16/98,60000000,46611204,
196,"Panic Room	","Panic Room	",2,2,#N/A,#N/A,#N/A,
197,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,6,6,2/27/87,5000000,44793222,
198,Rules of Engagement,Rules of Engagement,97,97 and 5 motherfuckers from Samuel L. Jackson,4/7/00,60000000,61322858,
199,"Rollercoaster	","Rollercoaster	",21,"20, plus one mad bomber killed by irony",#N/A,#N/A,#N/A,
200,"From Dusk Till Dawn	","From Dusk Till Dawn	",94,23 humans and 71 vampires,#N/A,#N/A,#N/A,
201,Killer Drag Queens on Dope,Killer Drag Queens on Dope,12,12,#N/A,#N/A,#N/A,
202,Dirty Work,Dirty Work,7,7,6/12/98,13000000,9975684,
203,"Antibodies	","Antibodies	",7,"4, 2 dogs and a porcupine",#N/A,#N/A,#N/A,
204,Prom Night,Prom Night,7,7,4/11/08,18000000,43869350,
205,"South Park: Bigger, Longer & Uncut","South Park: Bigger, Longer & Uncut",2,"2. That's right, I said TWO. The 312 people, 2 bears, robot king and demon that died in the war DON'T COUNT!	",6/30/99,21000000,52037603,
206,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 4: The Dream Master,7,6 and a bug,8/19/88,13000000,49369899,
207,The Descent,The Descent,17,"7, plus 10 mutant-things	",8/4/06,7000000,26024456,
208,Flushed Away,Flushed Away,27,3 flies and 2 bowls of maggots,11/3/06,149000000,64665672,
209,The Fifth Element,The Fifth Element,320,"22 humans, plus an entire space battleship, 26 mangolores, 3 mondoshawans, 17 parasites, one cockroach and one diva	",5/9/97,95000000,63540020,
210,Perfume,Perfume,28,"27, 1 cat, and the biggest orgy EVER.",#N/A,#N/A,#N/A,
211,Margarita Happy Hour,Margarita Happy Hour,1,1,#N/A,#N/A,#N/A,
212,The Shadow Walkers,The Shadow Walkers,35,"15 before the opening titles and then 12 more, plus 8 genetically-altered mutants",#N/A,#N/A,#N/A,
213,"Running with Scissors	","Running with Scissors	",1,1 cat,#N/A,#N/A,#N/A,
214,Ice Age 2,Ice Age 2,4,"A turtle, 2 dinosaurs, and a dodo (bird)",#N/A,#N/A,#N/A,
215,Scary Movie,Scary Movie,17,17,7/7/00,19000000,157019771,
1647,The Prophecy II,The Prophecy II,9,5 people and 4 angels,#N/A,#N/A,#N/A,
216,Independence Day,Independence Day,12702478,"1,702,461 humans and 11,000,017 aliens",7/2/96,75000000,306124059,
217,The Simpsons Movie,The Simpsons Movie,106,"2, plus all 3 members of Green Day, 77 fish and 24 swallows",7/27/07,72500000,183135014,
218,"Freddy vs. Jason	","Freddy vs. Jason	",85,20 people and 65 maggots,#N/A,#N/A,#N/A,
219,Four Brothers,Four Brothers,14,14,8/12/05,30000000,74494381,
220,Hard Boiled,Hard Boiled,235,235,#N/A,#N/A,#N/A,
221,The Butterfly Effect,The Butterfly Effect,1,1 unborn child. Unless you watch the theatrical version and then it's ZERO.,1/23/04,13000000,57924679,
222,30 Days of Night,30 Days of Night,165,"146 people, 12 vampires and 7 dogs",10/19/07,30000000,39568996,
223,"The Last Samurai	","The Last Samurai	",1592,"1,562 people and 30 horses",#N/A,#N/A,#N/A,
224,Dead in the Water,Dead in the Water,3,3,#N/A,#N/A,#N/A,
225,Long Kiss Goodnight,Long Kiss Goodnight,52,"50, a deer, a cricket, and Samuel L. Jackson graced us with two motherfuckers.",#N/A,#N/A,#N/A,
226,Bee Movie,Bee Movie,1,1 bug,11/2/07,150000000,126631277,
227,"A Nightmare on Elm Street 5: The Dream Child	","A Nightmare on Elm Street 5: The Dream Child	",4,3 and a doll,#N/A,#N/A,#N/A,
228,Saw IV,Saw IV,9,9,10/26/07,10000000,63300095,
229,Mr. Deeds,Mr. Deeds,1,1,6/28/02,50000000,126203320,
230,Mirror of Death,Mirror of Death,3,3,#N/A,#N/A,#N/A,
231,Blade,Blade,69,"22 humans, 46 vampires and a plant",8/21/98,45000000,70001065,
232,The Blob (1958),The Blob (1958),6,6,#N/A,#N/A,#N/A,
233,Strange Days,Strange Days,13,12 and a dog,#N/A,#N/A,#N/A,
234,Transformers,Transformers,2024,"2,019 humans, 1 Autobot, 3 Decepticons and 1 baby Decepticon",7/2/07,151000000,319071806,
235,The Return,The Return,2,2,2/6/04,15000000,501752,
236,"Kingdom of Heaven	","Kingdom of Heaven	",1594,"1,578 and 16 horses	",#N/A,#N/A,#N/A,
237,Critters,Critters,14,"1 bottle of whiskey, 1 cow, 1 chicken, 1 goldfish, 2 people, and 8 critters",#N/A,#N/A,#N/A,
238,The Big Lebowski,The Big Lebowski,1,1,3/6/98,15000000,17439163,
239,Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,2,1 and a squirrel,7/9/04,25000000,84136909,
240,"Last Quarter	","Last Quarter	",2,2,#N/A,#N/A,#N/A,
241,The Anarchist Cookbook,The Anarchist Cookbook,17,17,#N/A,#N/A,#N/A,
242,Dolores Claiborne,Dolores Claiborne,2,2,#N/A,#N/A,#N/A,
243,See No Evil (1971),See No Evil (1971),4,4,#N/A,#N/A,#N/A,
244,"No Country for Old Men	","No Country for Old Men	",18,"17 and a dog	",#N/A,#N/A,#N/A,
245,Awake,Awake,2,2,11/30/07,8600000,14373825,
246,Cast Away,Cast Away,9,"4 people, 2 crabs, 2 fish, and 1 volleyball (WILSON!!)	",12/22/00,85000000,233632142,
247,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2,1 person and 1 bear,#N/A,#N/A,#N/A,
1514,Inhale,Inhale,8,8,#N/A,#N/A,#N/A,
248,Hannibal Rising,Hannibal Rising,32,"30 people, a fish and a bird",2/9/07,50000000,27669725,
249,Date Movie,Date Movie,11,10 people and a rat,2/17/06,20000000,48548426,
250,"Team America: World Police	","Team America: World Police	",2066,"2,066 plus 1 motherfucker from Samuel L. Jackson's puppet.",#N/A,#N/A,#N/A,
251,Swimming Pool,Swimming Pool,1,1,7/4/03,7800000,10105505,
252,28 Days,28 Days,1,1,4/14/00,43000000,37035515,
253,Cube 2,Cube 2,15,15,#N/A,#N/A,#N/A,
254,The Hollywoohe Sd Strangler Meets the Skid Row Slasher,The Hollywoohe Sd Strangler Meets the Skid Row Slasher,12,12,#N/A,#N/A,#N/A,
255,The Cave,The Cave,9,"6 and 3 cave creatures	",8/26/05,30000000,14888028,
256,Phantoms,Phantoms,11,10 and a dog,#N/A,#N/A,#N/A,
257,Amityville Horror (1979),Amityville Horror (1979),6,6,#N/A,#N/A,#N/A,
258,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,15,12 and 3 bugs,#N/A,#N/A,#N/A,
259,Halloween (2007),Halloween (2007),22,"20, a rat and a coyote",#N/A,#N/A,#N/A,
260,A Nightmare on Elm Street 6: Freddy's Dead: The Final Nightmare,A Nightmare on Elm Street 6: Freddy's Dead: The Final Nightmare,6,"4, a hamster, and Freddy	",#N/A,#N/A,#N/A,
261,Nobody Knows,Nobody Knows,1,1,#N/A,#N/A,#N/A,
262,"Dead and Deader	","Dead and Deader	",62,"52, 9 scorpions, and Dean Cain's career",#N/A,#N/A,#N/A,
