movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
843,RocknRolla,RocknRolla,9,9,10/8/08,18000000,5700626,
844,Empire of the Sun,Empire of the Sun,14,14,#N/A,#N/A,#N/A,
845,Horrible Bosses,Horrible Bosses,1,1,7/8/11,35000000,117538559,
846,"Good Night to Die, A Good Night to Die","Good Night to Die, A Good Night to Die",7,7,#N/A,#N/A,#N/A,
847,Ginger Snaps,Ginger Snaps,10,"4 people, 4 dogs and 2 werewolves",#N/A,#N/A,#N/A,
848,Life as We Know It,Life as We Know It,2,2,10/8/10,38000000,53374681,
849,The Card Player,The Card Player,8,7 and a radio,#N/A,#N/A,#N/A,
850,Hobo with a Shotgun,Hobo with a Shotgun,50,50,5/6/11,3000000,703372,
851,The A-Team,The A-Team,25,25,6/11/10,110000000,77222099,
852,Lawn Dogs,Lawn Dogs,3,2 chickens and 1 dog,#N/A,#N/A,#N/A,
853,Fist of Fury,Fist of Fury,21,21,#N/A,#N/A,#N/A,
854,Hunt to Kill,Hunt to Kill,15,15,#N/A,#N/A,#N/A,
855,The Puppet Masters,The Puppet Masters,203534,"26 people and 203,508 aliens",#N/A,#N/A,#N/A,
856,Capote,Capote,6,6,9/30/05,7000000,28750530,
857,Queer Duck: The Movie,Queer Duck: The Movie,1,1 buzzard,#N/A,#N/A,#N/A,
858,Killers,Killers,10,10,6/4/10,75000000,47059963,
859,The Doom Generation,The Doom Generation,9,8 and 1 dog,#N/A,#N/A,#N/A,
860,Devil in the Flesh,Devil in the Flesh,6,5 and 1 dog,#N/A,#N/A,#N/A,
861,Ghostbusters,Ghostbusters,3,1 Stay Puft Marshmallow Man and 2 gargoyle dogs,6/8/84,30000000,242212467,
862,Sucker Punch,Sucker Punch,1,1,3/25/11,75000000,36392502,
863,Twelve,Twelve,7,7,#N/A,#N/A,#N/A,
864,Bloodsucking Freaks,Bloodsucking Freaks,13,13,#N/A,#N/A,#N/A,
865,The Virgin Suicides,The Virgin Suicides,5,5,4/21/00,6000000,4859475,
866,Red State,Red State,17,17,3/5/11,4000000,1065429,
867,Bug,Bug,3,3,5/25/07,4000000,7006708,
868,Natural Born Killers,Natural Born Killers,123,122 and a scorpion,#N/A,#N/A,#N/A,
869,Dear John,Dear John,2,2,2/5/10,25000000,80014842,
870,Vampires Suck,Vampires Suck,8,7 and a cat,8/18/10,20000000,36661504,
871,Bully,Bully,1,1,7/13/01,2100000,881824,
872,Casualties of War,Casualties of War,19,19,#N/A,#N/A,#N/A,
873,Comic Book Villains,Comic Book Villains,4,4,#N/A,#N/A,#N/A,
874,I Am Number Four,I Am Number Four,16,"3 humans, 3 Loriens, 8 Mogadorians and 2 giant alien bat-dogs",2/18/11,50000000,55100437,
875,Edge of Darkness,Edge of Darkness,12,12,1/29/10,60000000,43313890,
876,Fragile,Fragile,5,5,#N/A,#N/A,#N/A,
877,Ghosts of Girlfriends Past,Ghosts of Girlfriends Past,2,2,#N/A,#N/A,#N/A,
878,As Good As Dead,As Good As Dead,13,12 and a dog,#N/A,#N/A,#N/A,
879,Thor,Thor,148,"146, 1 Giant Ice Monster and 1 Destroyer",5/6/11,150000000,181030624,
880,Death Wish,Death Wish,11,11,#N/A,#N/A,#N/A,
881,Hideaway,Hideaway,7,7,#N/A,#N/A,#N/A,
882,ThanksKilling,ThanksKilling,12,"10 plus 1 dog, 1 baby bunny and a turkey rape",#N/A,#N/A,#N/A,
883,Home Fries,Home Fries,1,1,11/25/98,15000000,10443316,
884,Pieces of April,Pieces of April,1,1 squirrel,10/17/03,300000,2498144,
885,Two Hands,Two Hands,8,8,#N/A,#N/A,#N/A,
886,Tooth & Nail,Tooth & Nail,20,20,#N/A,#N/A,#N/A,
887,Drive Angry,Drive Angry,67,67,2/25/11,50000000,10721033,
888,Killshot,Killshot,4,4,#N/A,#N/A,#N/A,
889,Unrest,Unrest,7,7,#N/A,#N/A,#N/A,
890,Primer,Primer,2,2,10/8/04,7000,424760,
891,Monsters vs Aliens,Monsters vs Aliens,3682,"3,601 aliens and 81 giant alient robot probes",#N/A,#N/A,#N/A,
892,True Grit,True Grit,14,11 and 3 horses,12/22/10,35000000,171050328,
893,Girly,Girly,5,5,#N/A,#N/A,#N/A,
894,"Christmas Evil, You Better Watch Out","Christmas Evil, You Better Watch Out",4,4,#N/A,#N/A,#N/A,
895,High Art,High Art,1,1,#N/A,#N/A,#N/A,
896,Let Me In,Let Me In,10,10,10/1/10,20000000,12134935,
897,Rubber,Rubber,42,"36 people, 1 crow, 1 scorpion, 1 rabbit, 1 turkey, 1 spider and Robert the tire",4/1/11,500000,100370,
898,Scream of the Banshee,Scream of the Banshee,6,5 and a banshee,#N/A,#N/A,#N/A,
899,The Donner Party,The Donner Party,8,"6, a bear and a deer",#N/A,#N/A,#N/A,
900,Super,Super,19,19,4/1/11,2500000,324138,
901,"Ghoulies III: Ghoulies Go to College, Ghoulies 3","Ghoulies III: Ghoulies Go to College, Ghoulies 3",6,6,#N/A,#N/A,#N/A,
902,Paintball,Paintball,10,10,#N/A,#N/A,#N/A,
903,Limitless,Limitless,11,11,3/18/11,27000000,79249455,
904,Holes,Holes,9,"7, a mule and 1 yellow spotted lizard",4/18/03,20000000,67383924,
905,"Coraline	","Coraline	",21,"8 bugs, 2 rats, 1 cocoa beetle, 2 taffy sisters, 6 dog bats, 1 spider hand and 1 Other Dad",#N/A,#N/A,#N/A,
906,Brick,Brick,8,7 and a fetus,3/31/06,450000,2075743,
907,Sanctum,Sanctum,7,7,2/4/11,30000000,23209310,
908,The Mechanic,The Mechanic,17,17,1/28/11,42500000,29121498,
909,Hatchet,Hatchet,10,10,9/7/07,1500000,175281,
910,The Lake House,The Lake House,1,1,6/16/06,40000000,52330111,
911,SLC Punk,SLC Punk,1,1,#N/A,#N/A,#N/A,
912,Mad Dog Morgan,Mad Dog Morgan,12,10 and 2 snakes,#N/A,#N/A,#N/A,
913,Scream,Scream,7,7,12/20/96,15000000,103001286,
914,Scream 2,Scream 2,10,10,12/12/97,24000000,101334374,
447,Star Trek (2009),Star Trek (2009),5999995636,"5,999,995,635 and one alien creature",#N/A,#N/A,#N/A,
915,The Good Girl,The Good Girl,2,2,8/7/02,8000000,14018296,
916,Necromentia,Necromentia,7,6 and a pig-faced demon,#N/A,#N/A,#N/A,
917,16 Blocks,16 Blocks,2,2,3/3/06,45000000,36883539,
918,Men at Work,Men at Work,1,1,#N/A,#N/A,#N/A,
919,Redneck Zombies,Redneck Zombies,15,"8 people, 6 zombies and 1 piglet",#N/A,#N/A,#N/A,
920,Old School,Old School,3,3,2/21/03,24000000,75155000,
921,Miss Nobody,Miss Nobody,8,8,#N/A,#N/A,#N/A,
922,See No Evil (2006),See No Evil (2006),11,10 and a bug,#N/A,#N/A,#N/A,
923,3000 Miles to Graceland,3000 Miles to Graceland,48,47 and a coyote,2/23/01,62000000,15738632,
924,Everything is Illuminated,Everything is Illuminated,1025,"1,025",#N/A,#N/A,#N/A,
925,Logan's Run,Logan's Run,49,48 and a robot,#N/A,#N/A,25000000,
926,The Violent Kind,The Violent Kind,5,5,#N/A,#N/A,#N/A,
927,Syriana,Syriana,10,10,11/23/05,50000000,50824620,
928,Blue Valentine,Blue Valentine,1,1,12/29/10,1000000,9737892,
929,Dreamscape,Dreamscape,5,5,#N/A,#N/A,#N/A,
930,Stone,Stone,3,2 and a fly,10/8/10,22000000,1810078,
931,Paul,Paul,4,"2, a bird and a dog",3/18/11,40000000,37412945,
932,Alien,Alien,8,"5, an android, an alien and a face hugger",5/25/79,9000000,80930630,
933,Aliens,Aliens,485,"169 humans, 156 aliens, 159 face huggers and one alien queen",7/18/86,17000000,85160248,
934,Leprechaun,Leprechaun,5,4 and a cricket,#N/A,#N/A,#N/A,
935,Faces in the Crowd,Faces in the Crowd,7,7,#N/A,#N/A,#N/A,
936,Faster (2010),Faster (2010),7,7,#N/A,#N/A,#N/A,
937,Shaft (2000),Shaft (2000),25,25 people and 10 motherfuckers,#N/A,#N/A,#N/A,
938,Iron Giant,Iron Giant,3,2 and a deer,#N/A,#N/A,#N/A,
939,Red Riding Hood,Red Riding Hood,16,"13 people, 1 werewolf, 1 wolf and 1 rabbit",3/11/11,42000000,37662162,
940,Psycho (1998),Psycho (1998),2,2,#N/A,#N/A,#N/A,
941,Youth in Revolt,Youth in Revolt,1,1,1/8/10,18000000,15285588,
942,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,8,8,8/22/86,4700000,8025872,
943,The Godfather,The Godfather,19,18 and a horse,3/15/72,7000000,134821952,
944,Strange Brew,Strange Brew,2,2,#N/A,#N/A,#N/A,
945,Primal,Primal,31,"7 people, 1 demonic alien fetus, 1 kangaroo, 1 bug, 1 demonic rabbit and 20 leeches",#N/A,#N/A,#N/A,
946,Orphan Killer,Orphan Killer,10,10,#N/A,#N/A,#N/A,
947,Paranormal Activity 3,Paranormal Activity 3,2,2,10/21/11,5000000,104028807,
948,"Easter Bunny, Kill! Kill!","Easter Bunny, Kill! Kill!",8,8,#N/A,#N/A,#N/A,
949,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,31,"29, a snake and a horse",10/24/69,6000000,102308900,
950,The Hunger Games,The Hunger Games,26,"22, a bird, a lizard, 2 squirrels and a placemat",3/23/12,80000000,408010692,
1446,Mama,Mama,9,"6 people, a baby and 2 moths",1/18/13,15000000,71628180,
951,Hanna,Hanna,19,18 and a reindeer,4/8/11,30000000,40259119,
952,Iron Man,Iron Man,86,86,5/2/08,186000000,318604126,
953,Pervert!,Pervert!,7,5 and 2 snakes,#N/A,#N/A,#N/A,
954,Ghost in the Shell,Ghost in the Shell,2,2,#N/A,#N/A,#N/A,
955,Deadly Detour,Deadly Detour,23,22 and a fetus ,#N/A,#N/A,#N/A,
956,Alien&sup3;,Alien&sup3;,37,"30 plus 2 face huggers, an ox, an android, an alien, and an alien queen fetus",#N/A,#N/A,#N/A,
957,Bag of Bones,Bag of Bones,12,11 and an unborn child,#N/A,#N/A,#N/A,
958,Leaves of Grass,Leaves of Grass,7,6 and a catfish,4/2/10,9000000,70066,
959,Feast,Feast,17,"11 plus 3 monsters, 2 baby monsters and a monster cock",9/22/06,3200000,56131,
960,Train,Train,10,10,#N/A,#N/A,#N/A,
961,Superfly,Superfly,2,2,#N/A,#N/A,#N/A,
962,Brokeback Mountain,Brokeback Mountain,4,"1, a moose, a coyote and a sheep",12/9/05,13900000,83043761,
963,Ocean's Eleven,Ocean's Eleven,1,1,12/7/01,85000000,183417150,
964,Tangled,Tangled,1,1,11/24/10,260000000,200821936,
965,'68,'68,9,9,#N/A,#N/A,#N/A,
966,Futureworld,Futureworld,6,"2 people, 2 robots and 2 genetic duplicates",#N/A,#N/A,#N/A,
967,Night of the Demons (2009),Night of the Demons (2009),7,7,#N/A,#N/A,#N/A,
968,Haywire,Haywire,8,8,1/20/12,23000000,18942396,
969,Eye of the Beholder,Eye of the Beholder,5,5,1/28/00,15000000,16500786,
970,Hours,Hours,1,1,#N/A,#N/A,#N/A,
971,Colombiana,Colombiana,32,32,8/26/11,40000000,36665854,
972,Slugs: The Movie,Slugs: The Movie,16634,"11 people, 1 hamster, 9 slug eggs and 16,613 mutated slugs",#N/A,#N/A,#N/A,
973,One for the Money,One for the Money,6,6,1/27/12,42000000,26414527,
974,Blood & Donuts,Blood & Donuts,6,"2 people, 2 rats, 1 pigeon and 1 vampire",#N/A,#N/A,#N/A,
975,House,House,7,7,#N/A,#N/A,#N/A,
976,Fist of the North Star,Fist of the North Star,22,22,#N/A,#N/A,#N/A,
977,Panic in Needle Park,Panic in Needle Park,1,1 puppy,#N/A,#N/A,#N/A,
978,Scorched,Scorched,1,1 duck,#N/A,#N/A,#N/A,
979,Boogie Woogie,Boogie Woogie,2,2,#N/A,#N/A,#N/A,
980,G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,149,149,8/7/09,175000000,150201498,
981,This Means War,This Means War,22,22,2/17/12,65000000,54760791,
982,Run! Bitch Run!,Run! Bitch Run!,8,8,#N/A,#N/A,#N/A,
983,Bunraku,Bunraku,170,170,#N/A,#N/A,#N/A,
984,Crank,Crank,23,22 and a bird,9/1/06,12000000,27838408,
985,Management,Management,1,1,#N/A,#N/A,#N/A,
986,House of Yes,House of Yes,1,1,#N/A,#N/A,#N/A,
987,Lost Tribe,Lost Tribe,21,"19 people, 1 dog and 1 tribesman",#N/A,#N/A,#N/A,
988,Lucky,Lucky,4,4,#N/A,#N/A,#N/A,
989,Drive,Drive,10,10,9/16/11,15000000,35060689,
990,Iron Man 2,Iron Man 2,7,7,5/7/10,170000000,312128345,
991,Rock,Rock,23,23,#N/A,#N/A,#N/A,
992,Make-Out with Violence,Make-Out with Violence,5,"2 people, 2 dogs and a rat",#N/A,#N/A,#N/A,
993,Less Than Zero,Less Than Zero,1,1,#N/A,#N/A,#N/A,
994,Pretty Persuasion,Pretty Persuasion,1,1,#N/A,#N/A,#N/A,
995,Rise of the Planet of the Apes,Rise of the Planet of the Apes,26,"8 people, 15 chimps, 1 gorilla, 1 orangutan and a bug",8/5/11,93000000,176760185,
996,High Life,High Life,4,4,#N/A,#N/A,#N/A,
997,Game of Death II,Game of Death II,12,12,#N/A,#N/A,#N/A,
998,Alien: Resurrection,Alien: Resurrection,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid",11/26/97,60000000,47748610,
999,Kidulthood,Kidulthood,2,2,#N/A,#N/A,#N/A,
1000,Braveheart,Braveheart,21338,"20,176 men and 1,162 horses",5/24/95,72000000,75545647,
1001,One Last Thing,One Last Thing,1,1,#N/A,#N/A,#N/A,
1002,Carolina,Carolina,1,1,#N/A,#N/A,#N/A,
1003,Equilibrium,Equilibrium,187,180 people and 7 dogs,12/6/02,20000000,1190018,
1004,Dread,Dread,4,4,#N/A,#N/A,#N/A,
1005,Most High,Most High,2,2,#N/A,#N/A,#N/A,
1006,Teeth,Teeth,2,2,1/18/08,2000000,347578,
1007,After.Life,After.Life,2,1 and a baby chick,#N/A,#N/A,108596,
1008,"Love, Wedding, Marriage","Love, Wedding, Marriage",1,1 fish,#N/A,#N/A,#N/A,
1009,Children,Children,1,1 cat,#N/A,#N/A,#N/A,
1010,Memoirs of a Geisha,Memoirs of a Geisha,2,2,12/9/05,85000000,57010853,
1011,Shoot 'Em Up,Shoot 'Em Up,98,96 plus 2 deaths by carrot to the face,#N/A,#N/A,#N/A,
1012,Darkness Falls,Darkness Falls,12,11 and an evil tooth fairy ghost bitch,1/24/03,7000000,32539681,
1013,Man Who Wasn't There,Man Who Wasn't There,4,3 and a fetus,#N/A,#N/A,#N/A,
1014,Sleeping Beauty,Sleeping Beauty,2,2,#N/A,#N/A,#N/A,
1015,Hurt,Hurt,4,3 and a duckling,#N/A,#N/A,#N/A,
1016,Weather Man,Weather Man,1,1,#N/A,#N/A,#N/A,
1017,World's Greatest Dad,World's Greatest Dad,1,1,8/21/09,10000000,221805,
1018,Watchmen,Watchmen,15000044,"15,000,040, a fetus, 2 dogs and Bubastyx (the genetically engineered tiger-lynx hybrid)",3/6/09,138000000,107509799,
1019,Predator,Predator,72,"69, a scorpion, a boar and a predator",6/12/87,18000000,56072497,
1020,Predator 2,Predator 2,39,38 and a predator,11/21/90,35000000,28317513,
1021,Reef,Reef,4,4,#N/A,#N/A,#N/A,
1022,Hostel: Part III,Hostel: Part III,14,13 and a cockroach,#N/A,#N/A,#N/A,
1023,Macbeth (2010),Macbeth (2010),20,20,#N/A,#N/A,#N/A,
1024,Soul Surfer,Soul Surfer,1,1 shark,4/8/11,18000000,43853424,
1025,Tiny Furniture,Tiny Furniture,1,1 hamster,11/12/10,50000,391674,
1026,The Butcher (2006),The Butcher (2006),8,8,#N/A,#N/A,#N/A,
1027,Amazing Spider-Man,Amazing Spider-Man,4,"2 people, a mouse and a genetically enhanced spider",#N/A,#N/A,#N/A,
1028,X-Men,X-Men,6,5 and a bird,7/14/00,75000000,157299717,
1029,Never Let Me Go,Never Let Me Go,3,3,9/15/10,15000000,2419730,
1030,The Recruit,The Recruit,2,2,#N/A,#N/A,#N/A,
1031,Cirque Du Freak: The Vampire's Assistant,Cirque Du Freak: The Vampire's Assistant,1,1,10/23/09,40000000,14046595,
1032,Buried,Buried,1,1,9/24/10,1987650,1044143,
1033,Incredible Hulk,Incredible Hulk,20,20,#N/A,#N/A,#N/A,
1150,Species IV: The Awakening,Species IV: The Awakening,14,"9 people, 4 alien-human hybrids and 1 unborn alien baby",#N/A,#N/A,#N/A,
1034,Prometheus,Prometheus,18,15 plus 2 space jockeys and a giant alien squid baby (aka the original facehugger),6/8/12,125000000,126477084,
1035,Hulk,Hulk,8,"4, a frog and 3 gamma infected dogs",6/20/03,137000000,132177234,
1036,The Roommate,The Roommate,3,2 and a kitten,2/4/11,16000000,37300107,
1037,The Family Tree,The Family Tree,1,1,#N/A,#N/A,#N/A,
1038,Mojave Moon,Mojave Moon,1,1,#N/A,#N/A,#N/A,
1039,Cape Fear,Cape Fear,4,3 and a dog,11/15/91,35000000,79091969,
1040,Jurassic Park,Jurassic Park,9,"5 people, 2 dinosaurs, a goat and a bull",6/11/93,63000000,395708305,
1041,Girl Next Door,Girl Next Door,2,2,#N/A,#N/A,#N/A,
1042,Contagion,Contagion,26000087,"Over 26 million people, 56 monkeys and one pig",9/9/11,60000000,75658097,
1043,Jimmy and Judy,Jimmy and Judy,3,3,9/15/06,1000000,0,
1044,Playing by Heart,Playing by Heart,1,1,#N/A,#N/A,#N/A,
1045,Rest Stop,Rest Stop,3,3,#N/A,#N/A,#N/A,
1046,Watchers,Watchers,20,13 and 7 research animals,#N/A,#N/A,#N/A,
1047,Lost World: Jurassic Park,Lost World: Jurassic Park,16,"14 people, a dog and a Velociraptor",#N/A,#N/A,#N/A,
1048,The People Under the Stairs,The People Under the Stairs,6,5 and a dog,#N/A,#N/A,#N/A,
1049,Boogie Nights,Boogie Nights,9,9,10/10/97,15000000,26384919,
1050,Lockout,Lockout,533,533,4/13/12,20000000,14326865,
1051,Caged Heat,Caged Heat,8,8,#N/A,#N/A,#N/A,
1052,Drugstore Cowboy,Drugstore Cowboy,1,1,#N/A,#N/A,#N/A,
1053,Suspicion,Suspicion,2,2,#N/A,#N/A,#N/A,
1054,Dust,Dust ,62,"58, 2 sheep, a stillborn baby and an unborn baby",#N/A,#N/A,#N/A,
1055,Jurassic Park III,Jurassic Park III,8,"6 people, a T-Rex and a Pterodactyl",7/18/01,93000000,181166115,
1056,The Killing Jar,The Killing Jar,8,8,#N/A,#N/A,#N/A,
1057,Get the Gringo,Get the Gringo,52,52,#N/A,#N/A,#N/A,
1058,Too Young to Die?,Too Young to Die?,1,1,#N/A,#N/A,#N/A,
1059,World Unseen,World Unseen,1,1,#N/A,#N/A,#N/A,
1060,Mercury Rising,Mercury Rising,15,15,4/3/98,60000000,32940507,
1061,Sleepaway Camp,Sleepaway Camp,11,11,#N/A,#N/A,#N/A,
1062,Sleepaway Camp II: Unhappy Campers,Sleepaway Camp II: Unhappy Campers,18,18,#N/A,#N/A,#N/A,
1063,Sleepaway Camp III: Teenage Wasteland,Sleepaway Camp III: Teenage Wasteland,17,16 and a fish,#N/A,#N/A,#N/A,
1064,Kalifornia,Kalifornia,12,11 and a bug,#N/A,#N/A,#N/A,
1065,Fright Night,Fright Night,10,5 and 5 vampires,8/19/11,30000000,18298649,
1066,Creepshow,Creepshow,18,10 and 8 bugs,11/10/82,8000000,20036244,
1067,Jeepers Creepers 2,Jeepers Creepers 2,10,10,#N/A,#N/A,#N/A,
1068,Batman,Batman,54,54,6/23/89,35000000,248972777,
1069,Man Who Knew Too Little,Man Who Knew Too Little,4,4,#N/A,#N/A,#N/A,
1070,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,4,3 and a cat,12/20/11,90000000,102515793,
1071,Batman Returns,Batman Returns,6,5 and a cat,6/18/92,80000000,162833635,
1072,In Time,In Time,10,10,10/28/11,35000000,37553932,
1073,Phenomenon,Phenomenon,1,1,7/5/96,32000000,104632573,
1074,How to Rob a Bank,How to Rob a Bank,1,1,#N/A,#N/A,#N/A,
1075,Dirty Harry,Dirty Harry,7,7 bodies and 4 reasons he's called Dirty Harry (1. He hates everyone.  2. He's a peeping tom.  3. He gets all the dirty jobs that no one else wants.  4. He always gets the shit end of the stick.),#N/A,#N/A,#N/A,
1076,Neo Ned,Neo Ned,5,4 and a dog,#N/A,#N/A,#N/A,
1077,Burning Palms,Burning Palms,3,2 and a possum,#N/A,#N/A,#N/A,
1078,Batman Forever,Batman Forever,15,15,6/16/95,100000000,183997904,
1079,Toxic Avenger,Toxic Avenger,23,22 and a dog,#N/A,#N/A,#N/A,
1080,X,X,5,5,#N/A,#N/A,#N/A,
1081,High Lane,High Lane,4,4,#N/A,#N/A,#N/A,
1082,Lazarus Project,Lazarus Project,5,5,#N/A,#N/A,#N/A,
1083,Seed,Seed,14,14,#N/A,#N/A,#N/A,
1084,Gojira (a.k.a. Godzilla),Gojira (a.k.a. Godzilla),10411,"10,374 plus 12 cows, 8 pigs, 16 fish and Godzilla",#N/A,#N/A,#N/A,
1085,Return to Sleepaway Camp,Return to Sleepaway Camp,11,5 and 6 frogs,#N/A,#N/A,#N/A,
1086,Creepshow 2,Creepshow 2,14,13 and a duck,5/1/87,3500000,14000000,
1087,11-11-11: The Prophecy,11-11-11: The Prophecy,4,4,#N/A,#N/A,#N/A,
1088,40858,11/11/11,24,"22, a butterfly and a rat",#N/A,#N/A,#N/A,
1089,Barbarella,Barbarella,40,19 and 21 leathermen,10/10/68,9000000,0,
1090,Mary and Max,Mary and Max,16,"6, 2 flies, 1 worm and 7 fish",#N/A,#N/A,#N/A,
1091,Don't Go in the Woods,Don't Go in the Woods,13,13,#N/A,#N/A,#N/A,
1092,Death Wish 2,Death Wish 2,16,16,#N/A,#N/A,#N/A,
1093,Adventures of Baron Munchausen,Adventures of Baron Munchausen,52,51 and a giant 3-headed mechanical bird,#N/A,#N/A,#N/A,
1094,Camp Hell,Camp Hell,1,1 bug,#N/A,#N/A,#N/A,
1095,Singles,Singles,1,1 fetus,#N/A,#N/A,#N/A,
1096,Death Wish 3,Death Wish 3,77,75 and 2 roaches,#N/A,#N/A,#N/A,
1097,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,22,12 and 10 demons,1/13/95,12000000,20943520,
1098,Rest Stop: Don't Look Back,Rest Stop: Don't Look Back,7,7,#N/A,#N/A,#N/A,
1099,God Bless America,God Bless America,31,31,#N/A,#N/A,#N/A,
1100,Red Dawn,Red Dawn,107,106 and a deer,11/21/12,65000000,44806783,
1101,I Spill Your Guts,I Spill Your Guts,25,25,#N/A,#N/A,#N/A,
1102,Margin Call,Margin Call,1,1 dog,10/21/11,3400000,5353586,
1103,Dumb and Dumber,Dumb and Dumber,2,1 and a bird,#N/A,#N/A,#N/A,
1104,Wishmaster,Wishmaster,1,1,#N/A,#N/A,#N/A,
1105,Constantine,Constantine,283,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs",2/18/05,75000000,75500759,
1106,Borderland,Borderland,12,11 and a goat,#N/A,#N/A,#N/A,
1107,Conan the Barbarian,Conan the Barbarian,76,"71 people, 3 horses, 1 buzzard and a giant snake",8/19/11,90000000,21295021,
1108,Leviathan,Leviathan,8,"6, a spider crab and a genetic alteration",#N/A,#N/A,#N/A,
1109,Thinner,Thinner,6,6,10/25/96,14000000,15171475,
1110,Shrink,Shrink,1,1 dog,#N/A,#N/A,#N/A,
1111,Soapdish,Soapdish,1,1 cockroach,#N/A,#N/A,#N/A,
1112,Traveler,Traveler,6,6,#N/A,#N/A,#N/A,
1113,Finding Nemo,Finding Nemo,422,2 fish and 420 eggs,5/30/03,94000000,380529370,
1114,Aliens vs. Predator: Requiem,Aliens vs. Predator: Requiem,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens ",#N/A,#N/A,#N/A,
1115,Home Room,Home Room,6,6,#N/A,#N/A,#N/A,
1116,Thursday,Thursday,19,18 and a fetus,#N/A,#N/A,#N/A,
1117,Joe Dirt,Joe Dirt,7,"4, a dog, a duck and a fly",4/11/01,16000000,27087695,
1118,Lion King,Lion King,22,"19 bugs, a zebra, Mufasa and Scar",#N/A,#N/A,#N/A,
1119,Cherry Bomb,Cherry Bomb,11,11,#N/A,#N/A,#N/A,
1120,Safe,Safe,82,82,4/27/12,33000000,17142080,
1121,Malevolence,Malevolence,5,5,9/10/04,200000,126021,
1122,Mum & Dad,Mum & Dad,6,6,#N/A,#N/A,#N/A,
1123,National Lampoon's Vacation,National Lampoon's Vacation,2,Aunt Edna and the dog,#N/A,#N/A,#N/A,
1124,Bloody Birthday,Bloody Birthday,8,8,#N/A,#N/A,#N/A,
1125,Batman & Robin,Batman & Robin,13,13,6/20/97,125000000,107308328,
1126,Halloween (1978),Halloween (1978),6,5 and a dog,#N/A,#N/A,#N/A,
1127,Halloween II (1981),Halloween II (1981),10,10,#N/A,#N/A,#N/A,
1128,Halloween II (2009),Halloween II (2009),18,"16, a cow and a dog",#N/A,#N/A,#N/A,
1129,Halloween Night,Halloween Night,18,18,#N/A,#N/A,#N/A,
1130,Trick r' Treat,Trick r' Treat,10,10,#N/A,#N/A,#N/A,
1131,Confess,Confess,1,1,#N/A,#N/A,#N/A,
1132,Descendants,Descendants,1,1,#N/A,#N/A,#N/A,
1133,Wishmaster 2: Evil Never Dies,Wishmaster 2: Evil Never Dies,2,2,#N/A,#N/A,#N/A,
1134,Halloween III: Season of the Witch,Halloween III: Season of the Witch,31,8 people and 23 robots,#N/A,#N/A,#N/A,
1135,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,20,19 and a dog,10/1/88,5000000,16634499,
1136,Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers,21,20 and a dog,10/13/89,6000000,11642254,
1137,Halloween VI: The Curse of Michael Myers,Halloween VI: The Curse of Michael Myers,12,12,#N/A,#N/A,#N/A,
1138,Wishmaster 3: Beyond the Gates of Hell,Wishmaster 3: Beyond the Gates of Hell,8,8,#N/A,#N/A,#N/A,
1139,"Little Bit of Heaven, A Little Bit of Heaven","Little Bit of Heaven, A Little Bit of Heaven",1,1,#N/A,#N/A,#N/A,
1140,50/50,50/50,1,1,9/30/11,8000000,35014192,
1141,Village of the Damned,Village of the Damned,4063,"4,054 people, 8 creepy alien kids and 1 stillborn alien baby",#N/A,#N/A,#N/A,
1142,Halloween H2O: 20 Years Later,Halloween H2O: 20 Years Later,7,7,#N/A,#N/A,#N/A,
1143,Halloween: Resurrection,Halloween: Resurrection,10,10,7/12/02,15000000,30259652,
1144,Kiss Kiss Bang Bang,Kiss Kiss Bang Bang,12,12,#N/A,#N/A,#N/A,
1145,Strangeland,Strangeland,3,3,#N/A,#N/A,#N/A,
1146,Pact,Pact,3,3,#N/A,#N/A,#N/A,
1147,Species,Species,19,"14 people , 2 rats, 1 alien life form and 2 alien-human hybrids",7/7/95,35000000,60000401,
1148,Species II,Species II,44,"23 people, 20 alien babies and 1 alien-human hybrid",#N/A,#N/A,#N/A,
1149,Species III,Species III,12,"7 people,1 cat, 1 alien-human hybrid and 3 half-breeds",#N/A,#N/A,#N/A,
1151,Godzilla (1998),Godzilla (1998),393,"173 people, 219 Godzilla babies and Godzilla",#N/A,#N/A,#N/A,
1152,Birdemic: Shock and Terror,Birdemic: Shock and Terror,45,"14 people, 30 birds and 1 fish",#N/A,#N/A,#N/A,
1153,The Other Guys,The Other Guys,6,6,8/6/10,100000000,119219978,
1154,The Missing,The Missing,28,"25 people, a deer and 2 horses",11/26/03,65000000,26900336,
