moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,,,,,,2,1 person and 1 bear
borderland,,,,,,12,11 and a goat
the bourne identity,3251,121468960,60000000,thriller/suspense,6/14/2002,9,8 and a dog
the bourne legacy,3252,113203870,125000000,thriller/suspense,8/10/2012,19,"16 people, a wolf, a fox and an elk"
the bourne supremacy,3253,176087450,85000000,thriller/suspense,7/23/2004,9,9
the bourne ultimatum,3254,227471070,130000000,thriller/suspense,8/3/2007,4,4
boyhood,514,25379975,4000000,drama,7/11/2014,0,0
bram stokers dracula,521,78142084,40000000,horror,11/13/1992,103,"95, 1 worm, 1 baby, 1 horse, and 5 vampires"
branded,,,,,,3,2 people and a red cow
braveheart,524,75545647,72000000,drama,5/24/1995,21338,"20,176 men and 1,162 horses"
breaking the girls,,,,,,2,2
brick,529,2075743,450000,drama,3/31/2006,8,7 and a fetus
bride of chucky,533,32368960,25000000,horror,10/16/1998,10,"8 and 1 and 1/2 dolls. Also, one killer baby doll was spewed."
bridge to terabithia,537,82234139,25000000,drama,2/16/2007,1,1
bring me the head of the machine gun woman,,,,,,20,20
bringing up bobby,,,,,,0,0
brokeback mountain,547,83043761,13900000,drama,12/9/2005,4,"1, a moose, a coyote and a sheep"
broken arrow,549,70640985,65000000,action,2/9/1996,27,27
broken city,550,19701164,35000000,thriller/suspense,1/18/2013,2,2
bronx tale,,,,,,6,6
brooklyns finest,554,27163593,17000000,thriller/suspense,3/5/2010,16,16
brotherhood (2010),,,,,,1,1
brotherhood of blood,,,,,,16,16
brotherhood of murder,,,,,,3,3
brotherhood of the wolf,,,,,,68,"42 people, 23 wolves, 2 dogs and a beast"
bubble boy,564,5002310,13000000,comedy,8/24/2001,1,1 cow
bucket of blood a bucket of blood,,,,,,5,4 and a cat
budz house,,,,,,1,1
bug,569,7006708,4000000,drama,5/25/2007,3,3
bullet to the head,570,9489829,55000000,action,2/1/2013,33,33
bully,573,881824,2100000,drama,7/13/2001,1,1
bunraku,,,,,,170,170
buried,575,1044143,1987650,thriller/suspense,9/24/2010,1,1
burke & hare,,,,,,22,18 and 4 horses
burn after reading,578,60355347,37000000,black comedy,9/12/2008,2,2
burning palms,,,,,,3,2 and a possum
butch cassidy and the sundance kid,581,102308900,6000000,western,10/24/1969,31,"29, a snake and a horse"
butchered,,,,,,11,10 and a dog
butter (2011),,,,,,2,2
byzantium,,,,,,12,10 and 2 vampires
cabin fever,585,21158188,1500000,horror,9/12/2003,19,"16 people, a pig, a dog and a deer"
cadaver christmas a cadaver christmas,,,,,,24,23 zombies and Sam the ex-cop
caged heat,,,,,,8,8
cake,,,,,,0,0
camille,,,,,,3,2 and a blue horse
camp hell,,,,,,1,1 bug
canadian bacon,,,,,,2,2
candy,,,,,,2,1 and a fetus
candyman,,,,,,6,5 and a dog
cannibal holocaust,,,,,,17,"10 natives, 1 soldier, 3 bugs, 2 fish and a muskrat"
cannibal! the musical,,,,,,8,"6 people, 1 snowman and 1 horse"
cape fear,594,79091969,35000000,thriller/suspense,11/15/1991,4,3 and a dog
capote,596,28750530,7000000,drama,9/30/2005,6,6
captain america: the first avenger,597,176654505,140000000,action,7/22/2011,105,105
captain phillips,600,107136417,55000000,drama,10/11/2013,3,3
carolina,,,,,,1,1
carrie,605,25878153,1800000,horror,11/16/1976,135,134 and a pig
carrie (2002),,,,,,236,235 and a pig
carrie (2013),,,,,,17,16 and a pig
case 39,612,13261851,27000000,horror,10/1/2010,7,6 and a demon child
casino,613,42388160,52000000,drama,11/22/1995,22,22
casino royale (1967),,,,,,217,"207 plus a goat, a robot, 2 seals, 4 horses and 2 grouse."
casino royale (2006),,,,,,22,22 and 1 bitch banged
cast away,618,233632142,85000000,drama,12/22/2000,9,"4 people, 2 crabs, 2 fish, and 1 volleyball (WILSON!!)"
casualties of war,,,,,,19,19
cat people,620,4000000,134000,drama,11/16/1942,5,"3, a bunny, and a panther-person"
catwoman,629,40202379,100000000,action,7/23/2004,3,3
changeling,645,35739802,55000000,thriller/suspense,10/24/2008,11,11
charade,,,,,,4,4
cheers for miss bishop,,,,,,4,4
chef,,,,,,0,0
chernobyl diaries,665,18119640,1000000,horror,5/25/2012,6,6
cherry bomb,,,,,,11,11
chicken run,668,106793915,42000000,adventure,6/21/2000,1,1 chicken
children,,,,,,1,1 cat
children of men,670,35327768,76000000,thriller/suspense,12/25/2006,15043,"39, a dog, 3 crispy cows and a refugee camp"
children of the corn,,,,,,23,22 and a dog
children of the corn (2009),,,,,,10,9 and a pig
children of the corn 666: isaacs return,,,,,,8,7 and a bug
children of the corn ii: the final sacrifice,,,,,,29,28 and a cat
children of the corn iii: urban harvest,,,,,,20,"18, a bug and a corn monster"
children of the corn iv: the gathering,,,,,,8,7 and a cricket
children of the corn v: fields of terror,,,,,,18,18 and a fire monster
children of the corn: genesis,,,,,,3,3
children of the corn: revelation,,,,,,19,19
childs play,671,31605639,9000000,horror,11/9/1988,10,5 and 5 rats
