,Release Date,Movie,Genre,ProductionBudget,BoxOffice
1257,2006-03-31,atl,comedy,17000000,21170563
1262,2001-06-08,atlantis: the lost empire,adventure,90000000,84052762
1264,2012-10-12,atlas shrugged: part ii,drama,10000000,3336053
1265,2014-09-12,atlas shrugged: who is john galt?,drama,5000000,851690
1270,2007-12-07,atonement,drama,30000000,50980159
1275,2011-07-29,attack the block,action,13000000,1024175
1295,2008-07-11,august,drama,3400000,11762
1298,2007-11-17,august rush,drama,25000000,31664162
1297,2013-12-25,august: osage county,black comedy,25000000,37738810
1313,2002-07-25,austin powers in goldmember,comedy,63000000,213117789
1314,1997-05-02,austin powers: international man of mystery,comedy,18000000,53868030
1315,1999-06-10,austin powers: the spy who shagged me,comedy,35000000,205957794
1316,2008-11-26,australia,drama,130000000,49554002
1320,2002-10-18,auto focus,drama,7000000,2062066
1335,2000-08-11,autumn in new york,drama,40000000,37752931
1349,2009-12-18,avatar,action,425000000,760507625
1373,2004-08-13,avp: alien vs predator,horror,70000000,80281096
1377,2007-11-30,awake,thriller/suspense,8600000,14373825
1385,2009-06-05,away we go,comedy,21000000,9451946
1398,2002-07-19,ayurveda: art of being,documentary,300000,16892
14,2015-07-10,baahubali: the beginning,action,40000000,6738000
22,1995-08-04,babe,adventure,30000000,63634380
23,1998-11-25,babe: pig in the city,adventure,80000000,18318000
25,2006-10-27,babel,drama,20000000,34302837
37,2001-06-27,baby boy,drama,16000000,28734552
41,1999-03-12,baby geniuses,comedy,13000000,27151490
45,2008-04-25,baby mama,comedy,30000000,60321790
50,2008-08-29,babylon ad,action,45000000,22532572
53,1994-07-01,babys day out,comedy,50000000,16581575
58,1999-01-22,bacheha-ye aseman,comedy,180000,933933
63,2012-09-07,bachelorette,comedy,3000000,446770
74,1985-07-03,back to the future,adventure,19000000,212259762
75,1989-11-22,back to the future part ii,adventure,40000000,109116271
76,1990-05-24,back to the future part iii,adventure,40000000,88055283
103,1995-04-07,bad boys,action,23000000,65637842
107,2003-07-18,bad boys ii,action,130000000,138540870
109,2002-06-07,bad company,action,70000000,30157016
123,2009-11-20,bad lieutenant: port of call new orleans,drama,25000000,1702112
134,2003-11-26,bad santa,black comedy,18000000,60060328
136,2011-06-24,bad teacher,comedy,19000000,100292856
138,2014-03-14,bad words,comedy,10000000,7779614
147,2013-09-27,baggage claim,romantic comedy,8500000,21569509
149,2008-06-13,baghead,drama,200000,140016
159,2000-09-15,bait,action,35000000,15325127
194,2002-09-20,ballistic: ecks vs sever,action,70000000,14294842
207,2000-10-06,bamboozled,drama,10000000,2185266
221,2001-10-12,bandits,comedy,75000000,41523271
223,2009-08-14,bandslam,comedy,20000000,5210988
225,1996-04-01,bang,thriller/suspense,10000,527
237,2008-09-05,bangkok dangerous,action,45000000,15298133
247,2006-06-02,banlieue 13,action,15000000,1200216
269,2014-12-26,barbecue,comedy,10000000,388
271,2002-09-13,barbershop,comedy,12000000,75781642
272,2004-02-06,barbershop 2: back in business,comedy,18000000,65070412
318,2012-09-14,barfi,romantic comedy,4600000,2804874
322,1998-04-03,barneys great adventure,adventure,15000000,11144518
323,2010-12-17,barneys version,drama,30000000,7502560
324,2006-08-04,barnyard: the original party animals,comedy,51000000,72779000
328,1975-01-01,barry lyndon,drama,11000000,20000000
342,2003-03-28,basic,thriller/suspense,50000000,26599248
344,2006-03-31,basic instinct 2,thriller/suspense,70000000,5946136
348,1996-08-09,basquiat,drama,3000000,2729067
355,1944-01-01,bathing beauty,musical,2361000,3500000
359,1989-06-23,batman,action,35000000,248972777
360,1997-06-20,batman & robin,action,125000000,107308328
363,2005-06-15,batman begins,action,150000000,205343774
365,1995-06-16,batman forever,action,100000000,183997904
368,1992-06-18,batman returns,action,80000000,162833635
379,1999-10-22,bats,horror,6500000,10155691
400,2013-09-20,battle of the year,drama,20000000,8888355
392,2011-03-11,battle: los angeles,action,70000000,83552429
402,2000-05-12,battlefield earth: a saga of the year 3000,action,80000000,21471685
403,2012-05-18,battleship,action,209000000,65233400
418,2005-03-04,be cool,comedy,75000000,55849401
420,2008-02-22,be kind rewind,comedy,20000000,11175164
439,2011-03-04,beastly,drama,17000000,27865571
443,2012-06-27,beasts of the southern wild,drama,1800000,12795746
454,2000-09-29,beautiful,drama,9000000,3134509
462,2013-02-14,beautiful creatures,thriller/suspense,50000000,19452138
480,1991-11-13,beauty and the beast,musical,20000000,218951625
487,2005-03-30,beauty shop,comedy,25000000,36351350
492,1996-12-20,beavis and butt-head do america,comedy,12000000,63071133
494,2007-02-02,because i said so,comedy,39000000,42674040
496,2005-02-18,because of winn-dixie,comedy,15000000,32645546
500,2007-08-03,becoming jane,romantic comedy,16500000,18663911
506,2000-10-20,bedazzled,comedy,48000000,37879996
511,2008-12-25,bedtime stories,comedy,80000000,110101975
512,2007-11-02,bee movie,comedy,150000000,126631277
520,2006-08-25,beerfest,comedy,17500000,19185184
527,1988-03-30,beetle juice,comedy,15000000,73326666
532,2014-10-31,before i go to sleep,thriller/suspense,22000000,3242457
535,2013-05-24,before midnight,drama,3000000,8110621
537,1995-01-27,before sunrise,drama,2500000,5184616
538,2004-07-02,before sunset,drama,2000000,5792822
546,2014-06-27,begin again,drama,8000000,16170632
547,2011-06-03,beginners,drama,3200000,5790894
553,2001-11-30,behind enemy lines,action,40000000,58855732
576,1999-10-29,being john malkovich,black comedy,13000000,22858926
577,2004-10-15,being julia,drama,18000000,7739049
595,2007-10-26,bella,drama,3300000,8093373
614,1998-10-16,beloved,drama,53000000,22843047
624,1959-11-18,ben-hur,adventure,15000000,73000000
626,1925-12-30,ben-hur,adventure,3900000,9000000
629,2003-03-12,bend it like beckham,drama,5600000,32543449
643,1974-11-15,benji,adventure,500000,31559560
651,2007-11-16,beowulf,adventure,150000000,82195215
661,2012-04-27,bernie,black comedy,6000000,9204489
677,2000-09-27,best in show,comedy,6000000,18621249
726,2003-04-11,better luck tomorrow,drama,250000,3802390
734,2002-09-13,betty fisher et autres histoires,drama,7500000,206400
743,2008-10-03,beverly hills chihuahua,comedy,20000000,94514402
746,1984-12-05,beverly hills cop,action,15000000,229909722
748,1987-05-20,beverly hills cop ii,action,20000000,152932902
749,1994-05-25,beverly hills cop iii,action,50000000,42586861
758,2005-06-24,bewitched,comedy,80000000,62252415
766,2003-10-24,beyond borders,drama,60000000,4426297
772,2012-05-18,beyond the black rainbow,drama,1100000,56491
773,2015-07-31,beyond the brick: a lego brickumentary,documentary,1000000,101531
779,2014-11-14,beyond the lights,drama,7000000,14618727
781,1999-10-22,beyond the mat,documentary,500000,2047570
784,2004-12-17,beyond the sea,drama,24000000,6144806
786,1970-01-01,beyond the valley of the dolls,comedy,1000000,9000000
809,1999-12-17,bicentennial man,drama,90000000,58220776
812,2008-07-25,bienvenue chez les chtis,comedy,16000000,1477650
814,1988-06-03,big,comedy,18000000,113327971
833,1999-06-25,big daddy,comedy,30000000,163479795
839,2014-12-25,big eyes,drama,10000000,14482031
841,2002-02-08,big fat liar,comedy,15000000,47811275
842,2003-12-10,big fish,drama,70000000,66432867
849,2014-11-07,big hero 6,adventure,165000000,222527828
862,2012-02-03,big miracle,drama,40000000,20157300
863,2000-06-02,big mommas house,comedy,33000000,117559438
864,2006-01-27,big mommas house 2,comedy,40000000,70165972
865,2011-02-18,big mommas: like father like son,comedy,32000000,37915414
891,2002-04-05,big trouble,comedy,45000000,7262288
892,1986-07-01,big trouble in little china,action,25000000,10911690
913,1991-07-19,bill & teds bogus journey,comedy,20000000,37537675
914,1989-02-17,bill & teds excellent adventure,comedy,10000000,37788317
926,2000-10-13,billy elliot,drama,5000000,21995263
959,2014-10-17,birdman or the unexpected virtue of ignorance,black comedy,18000000,42340598
966,2004-10-29,birth,drama,20000000,5005899
973,2002-02-01,birthday girl,romantic comedy,13000000,4919896
985,2010-01-21,biutiful,drama,35000000,5101237
999,2000-04-05,black and white,drama,10000000,5241315
1007,2006-12-25,black christmas,horror,9000000,16235738
1019,2001-12-28,black hawk down,action,95000000,108638745
1025,2001-11-21,black knight,comedy,35000000,33422806
1031,2015-09-18,black mass,drama,53000000,62575678
1034,2013-11-27,black nativity,musical,17500000,7018188
1036,2014-12-03,black or white,drama,9000000,21571189
1041,1989-09-22,black rain,thriller/suspense,30000000,43140147
1048,2007-03-02,black snake moan,drama,15000000,9396870
1053,2010-12-03,black swan,thriller/suspense,13000000,106954678
1067,2015-01-16,blackhat,thriller/suspense,70000000,7889395
1071,2011-10-07,blackthorn,adventure,4500000,200558
1073,1998-08-21,blade,action,45000000,70001065
1074,2002-03-22,blade 2,action,54000000,81676888
1075,1982-06-25,blade runner,thriller/suspense,28000000,32656328
1077,2004-12-08,blade: trinity,action,65000000,52397389
1078,2007-03-30,blades of glory,comedy,61000000,118245842
1090,1999-02-12,blast from the past,comedy,35000000,26494611
1094,1974-01-01,blazing saddles,comedy,2600000,119500000
1106,2014-05-23,blended,romantic comedy,45000000,46290741
1108,2000-08-11,bless the child,thriller/suspense,40000000,29374178
1118,2008-10-03,blindness,thriller/suspense,25000000,3073392
1135,2007-12-21,blonde ambition,comedy,10000000,6422
1142,2007-01-26,blood and chocolate,horror,15000000,3526588
1147,1997-02-21,blood and wine,thriller/suspense,26000000,1075288
1151,2006-12-08,blood diamond,action,100000000,57377916
1152,2010-02-19,blood done sign my name,drama,10000000,109383
1170,1985-01-18,blood simple,thriller/suspense,1500000,1690913
1175,2014-03-21,blood ties,drama,26000000,42472
1176,2002-08-09,blood work,thriller/suspense,50000000,26199517
1180,2006-01-06,bloodrayne,action,25000000,2405420
1182,1988-02-26,bloodsport,action,1500000,11806119
1191,2001-04-06,blow,drama,30000000,52990775
1193,1981-07-24,blow out,thriller/suspense,18000000,13747234
1203,2003-05-02,blue car,drama,1000000,464126
1208,2002-08-16,blue crush,drama,30000000,40118420
1214,2013-07-26,blue jasmine,comedy,18000000,33404871
1218,2012-04-13,blue like jazz,comedy,1200000,595018
1225,2014-04-25,blue ruin,thriller/suspense,420000,361276
1231,1999-09-17,blue streak,action,36000000,68208190
1235,2010-12-29,blue valentine,drama,1000000,9737892
1251,2003-03-21,boat trip,comedy,15000000,8586376
1260,2006-11-17,bobby,drama,14000000,11205901
1264,2004-04-30,bobby jones: stroke of genius,drama,17000000,2694071
1270,1984-10-26,body double,thriller/suspense,10000000,8801940
1273,2008-10-10,body of lies,thriller/suspense,67500000,39394666
1287,1996-09-06,bogus,comedy,32000000,4340826
1291,2000-02-18,boiler room,drama,9000000,16963963
1310,2008-11-21,bolt,comedy,150000000,114053759
1319,2006-08-04,bon cop bad cop,comedy,8000000,12628571
1322,2004-03-19,bon voyage,comedy,20000000,2353728
1328,2001-10-24,bones,horror,10000000,7316658
1348,2005-02-04,boogeyman,horror,20000000,46363118
1352,1997-10-10,boogie nights,drama,15000000,26384919
