moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
king kong,1810,218080025,207000000,adventure,12/14/2005,71,"26 with Ape. Also 3 dinosaurs, 4 T-Rexes, 35 various giant insects and 3 giant bats."
kid with the golden arms,,,,,,70,70
rampage,,,,,,70,70
wyrmwood: road of the dead,,,,,,70,8 people and 62 infected
blade,461,70001065,45000000,action,8/21/1998,69,"22 humans, 46 vampires and a plant"
blood diner,,,,,,69,69
elysium,1045,93050117,120000000,action,8/9/2013,69,69
lord of war,1977,24149632,42000000,action,9/16/2005,69,69
brotherhood of the wolf,,,,,,68,"42 people, 23 wolves, 2 dogs and a beast"
thx 1138,,,,,,68,"63 plus 1 mate, 2 robot police officers, 1 hologram dude and a fetus"
total recall,4052,108580729,65000000,action,6/1/1990,68,"49, plus 16 fish, 1 rat, 1 Jonny Cab and 1 three-breasted mutant hooker"
dogma,938,30651422,10000000,comedy,11/12/1999,67,"57, 5 demons and 5 gang members"
drive angry,988,10721033,50000000,action,2/25/2011,67,67
apocalypto,274,50866635,40000000,adventure,12/8/2006,66,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake"
bad taste,,,,,,66,"60, plus 5 seagulls and 1 sheep"
diamonds are forever,896,43800000,7200000,action,12/17/1971,66,66 and only 1 bitch banged
sheriff tom vs the zombies,,,,,,66,17 people and 49 zombies
sin city: a dame to kill for,2880,13757804,65000000,action,8/22/2014,66,66
snow white and the huntsman,2919,155136755,170000000,adventure,6/1/2012,66,"63, a dwarf, a horse and the Evil Queen"
killer klowns from outer space,,,,,,65,"43, plus 19 klowns, 1 dog, 1 balloon dog and a puppet"
kick-ass,1795,48071303,28000000,black comedy,4/16/2010,64,64
the island,3545,15716828,22000000,adventure,6/13/1980,64,"22, plus 2 police officers and 40 ""defective"" (read: free-thinking) clones"
v for vendetta,4168,70511035,50000000,action,3/17/2006,64,64
x-men: first class,4340,146408305,160000000,action,6/3/2011,64,62 people and 2 mutants
pirates of the caribbean: on stranger tides,2476,241063875,250000000,adventure,5/20/2011,63,"56 people, 2 mermaids, 3 poisonous toads and 2 zombie pirates"
pitch black,2478,39235088,23000000,horror,2/18/2000,63,40 and 23 aliens
rambo iii,2584,53715611,58000000,action,5/25/1988,63,62 and a chicken
riddick,2654,42025135,38000000,action,9/6/2013,63,"9 humans, 3 Necromongers (aka Monger Lords), 1 alien bird, 2 alien jackals, 4 alien eels, 42 mud demons and 2 mud demon babies"
traitor,4067,23530831,22000000,thriller/suspense,8/27/2008,63,63
dead and deader,,,,,,62,"52, 9 scorpions, and Dean Cain's career"
dust ,,,,,,62,"58, 2 sheep, a stillborn baby and an unborn baby"
iron man 3,1684,408992272,200000000,action,5/3/2013,62,62 people and 1 exploding plant
spawn,2959,54967359,40000000,action,7/31/1997,62,"39, 20 maggots, 2 worms and 1 Violator"
the world is not enough,3980,126930660,135000000,action,11/19/1999,62,62 and 3 bitches banged
eagle eye,1011,101440743,80000000,thriller/suspense,9/26/2008,61,61
final destination 4,,,,,,61,61
the babadook,,,,,,61,1 dog and 60 worms
the losers,3624,23591432,25000000,action,4/23/2010,61,"40 and a teddy bear before the opening title, then 20 more"
goldeneye,1344,105978900,60000000,action,11/17/1995,60,60 and 2 bitches banged
goldfinger,1345,51100000,3000000,action,12/22/1964,60,60 and 2 bitches banged
sin city,2879,74103820,40000000,action,4/1/2005,59,59
the punisher,3775,33571379,33000000,action,4/16/2004,58,58
robocop 2,,,,,,58,58
sabotage (1936),,,,,,58,57 and a puppy
zombie hunter,,,,,,58,"4 people, 50 zombies, 1 cat and 3 out of place aliens"
flash gordon,1183,27107960,35000000,action,12/5/1980,57,56 (including 9 hawkmen and 1 lizard man) plus a swamp monster
jennifers body,1728,16204793,16000000,thriller/suspense,9/18/2009,57,56 people and 1 succubus
pirates of the caribbean: dead mans chest,2475,423315812,225000000,adventure,7/7/2006,57,56 and a hermit crab
django unchained,928,162805434,100000000,western,12/25/2012,56,"52 people, 4 horses and 5 motherfuckers"
shooter,2846,47003582,60000000,thriller/suspense,3/23/2007,56,55 people and a dog
the boondock saints 2: all saints day,3247,10273187,8000000,action,10/30/2009,56,56
the golden compass,3436,70107728,205000000,adventure,12/1/2007,55,54 and an ice bear
the magnificent seven,,,,,,55,55
unthinkable,,,,,,55,55 and 0 motherfuckers
batman,369,248972777,35000000,action,6/23/1989,54,54
from dusk till dawn 3: the hangmans daughter,,,,,,54,"35 people, 18 vampires and a horse"
grace,1364,8297,5000000,horror,8/14/2009,53,"3 people, 2 rats and 48 flies"
robocop 3,2680,10696210,22000000,action,11/5/1993,53,50 and 3 RoboNinjas
the book of eli,3242,94835059,80000000,action,1/15/2010,53,51 plus a cat and a bird
the signal,3844,251150,50000,horror,2/22/2008,53,53
adventures of baron munchausen,,,,,,52,51 and a giant 3-headed mechanical bird
alien: resurrection,178,47748610,60000000,action,11/26/1997,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid"
get the gringo,,,,,,52,52
the long kiss goodnight,3612,33430951,65000000,action,10/11/1996,52,"50, a deer, a cricket, and Samuel L. Jackson graced us with two motherfuckers."
the purge: anarchy,3777,71562550,9000000,thriller/suspense,7/18/2014,52,52
after earth,150,60522097,130000000,action,5/31/2013,51,"21, 20 monkeys, 7 giant bird babies, 1 cave rat (eaten by a flying snake!), 1 giant bird and 1 URSA"
desperado,883,25405445,7000000,action,8/25/1995,51,51
kill bill: volume 1,1800,70098138,55000000,action,10/10/2003,51,51
circle,688,10024,2000000,horror,8/27/2010,50,49 and a fetus
hobo with a shotgun,1501,703372,3000000,action,5/6/2011,50,50
looper,1976,66486205,30000000,action,9/28/2012,50,50
skyfall,2889,304360277,200000000,action,11/8/2012,50,50 and 2 bitches banged
the toxic avenger part ii,,,,,,50,"48, 1 horse and 1 fish-head guy"
war inc,4220,578527,10000000,black comedy,5/23/2008,50,49 and a scorpion
knight and day,1825,76423035,117000000,action,6/23/2010,49,49
logans run,,,,,,49,48 and a robot
3000 miles to graceland,49,15738632,62000000,drama,2/23/2001,48,47 and a coyote
from paris with love,1258,24077427,52000000,thriller/suspense,2/5/2010,48,48
kung pow: enter the fist,1838,16033556,10000000,comedy,1/25/2002,48,"43 people, a dog, 2 moths, a big toe, a stomach plug and one French alien UFO"
lara croft: tomb raider: the cradle of life,1866,65653758,90000000,adventure,7/25/2003,48,44 and 4 shadow guardians
night watch (aka nochnoi dozor aka nochnoy dozor),,,,,,48,"46, a bug and a bird"
the nest,,,,,,48,"7 people, 1 dog, 1 rat, 1 cat-roach, 1 roach-man, 1 Roach Master Deluxe and at least 36 roaches"
the road warrior,,,,,,48,"46, 1 bunny, and 1 dog"
x-men origins: wolverine,4338,179883157,150000000,action,5/1/2009,48,47 and a bear
it runs in the family ,,,,,,47,47 fish
the happening,3472,64506874,60000000,thriller/suspense,6/13/2008,47,47
black dynamite,,,,,,46,46
dead snow,,,,,,46,"10, a crow, and 35 zombie Nazis"
death racers,,,,,,46,45 and Metal Man 
faceoff,,,,,,46,46
jesus christ vampire hunter,,,,,,46,46
birdemic: shock and terror,,,,,,45,"14 people, 30 birds and 1 fish"
for your eyes only,1213,54800000,28000000,action,6/26/1981,45,"27, 1 British spy ship disguised as a fishing vessel, and one bitch banged"
ghost dog: way of the samurai,1308,3330230,2000000,drama,3/3/2000,45,"18 people, 26 pigeons and 1 bear"
the tournament,,,,,,45,"43, 1 dog and 1 fetus"
thunderball,4021,63600000,9000000,action,12/29/1965,45,"44, a shark, and 3 bitches got banged"
tremors 3: back to perfection,,,,,,45,"5 people, 30 shreikers, 2 cows, 1 graboid and 7 assblasters"
underworld,4144,51970690,22000000,action,9/19/2003,45,"15 vampires, 29 lycan and one half lycan, half vampire fetus"
bangkok dangerous,355,15298133,45000000,action,9/5/2008,44,43 and a scorpion
krull,,,,,,44,"42 people, a cyclops and a beast"
lucy,2009,126573960,40000000,action,7/25/2014,44,"41, a bug, a fish and a gazelle"
species ii,,,,,,44,"23 people, 20 alien babies and 1 alien-human hybrid"
the baytown outlaws,,,,,,44,44
