,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
486,dr no,16067035.0,1000000.0,action,1963-05-08,11,"10 and a huge fucking venomous spider, plus 3 bitches banged"
489,draft day,28842237.0,25000000.0,drama,2014-04-11,0,0
490,drag me to hell,42100625.0,30000000.0,horror,2009-05-29,5,4 and a kitten
493,dream house,21302340.0,50000000.0,horror,2011-09-30,2,2
494,dreamcatcher,33685268.0,68000000.0,drama,2003-03-21,108,"14 people, 1 dog, 1 deer, 29 giant alien ass penis monsters, 3 alien ass worms, 19 alien ass worm babies, 40 alien ass worm eggs and 1 Duddits"
496,dredd,13414714.0,45000000.0,action,2012-09-21,87,87
497,drive,35060689.0,15000000.0,action,2011-09-16,10,10
498,drive angry,10721033.0,50000000.0,action,2011-02-25,67,67
500,drop dead gorgeous,10571408.0,10000000.0,comedy,1999-07-23,7,"5, plus a trailer exploded and one girl lost her hearing"
502,duets,4734235.0,16000000.0,drama,2000-09-15,2,2
503,dumb & dumber,127140750.0,16000000.0,comedy,1994-12-16,2,1 and a bird
504,dune,27447471.0,45000000.0,action,1984-12-14,270,268 and 2 sandworms
508,eagle eye,101440743.0,80000000.0,thriller/suspense,2008-09-26,61,61
509,earth to echo,38934842.0,13000000.0,adventure,2014-07-02,0,0
515,ed wood,5755976.0,18000000.0,comedy,1994-09-30,1,1
516,edge of darkness,43313890.0,60000000.0,drama,2010-01-29,12,12
518,edge of tomorrow,100206256.0,178000000.0,action,2014-06-06,0,0
519,edward scissorhands,53976987.0,20000000.0,comedy,1990-12-07,2,2
520,elektra,24409722.0,65000000.0,action,2005-01-14,22,22
522,elizabeth,30012990.0,25000000.0,drama,1998-11-06,482,482
523,elizabeth: the golden age,16285240.0,55000000.0,drama,2007-10-12,704,704
524,elysium,93050117.0,120000000.0,action,2013-08-09,69,69
526,enchanted,127706877.0,85000000.0,romantic comedy,2007-11-21,3,"1 cockroach, 1 bag of bird seed (which was stabbed with a sword), and 1 evil witch queen who was killed while in dragon form."
527,enemy of the state,111544445.0,85000000.0,action,1998-11-20,13,13
529,equilibrium,1190018.0,20000000.0,action,2002-12-06,187,180 people and 7 dogs
531,escape from tomorrow,171962.0,650000.0,drama,2013-10-11,2,1 and an android
532,eternal sunshine of the spotless mind,34366518.0,20000000.0,comedy,2004-03-19,0,0
533,event horizon,26668092.0,60000000.0,horror,1997-08-15,3,3
535,eves bayou,14821531.0,5000000.0,drama,1997-11-07,4,4 and 0 motherfuckers
540,ex machina,25440971.0,13000000.0,thriller/suspense,2015-04-10,2,2
541,existenz,2840417.0,20700000.0,thriller/suspense,1999-04-23,2,2
543,extract,10823158.0,7500000.0,comedy,2009-09-04,2,1 and a testicle
544,extremely loud and incredibly close,31847881.0,40000000.0,drama,2011-12-25,2763,"2,763"
545,eye of the beholder,16500786.0,15000000.0,thriller/suspense,2000-01-28,5,5
550,falcon rising,11774.0,4500000.0,adventure,2014-09-04,34,34
553,family plot,13200000.0,3000000.0,black comedy,1976-04-09,1,1
555,fantastic four,56117548.0,120000000.0,action,2015-08-07,4,4
556,fantastic four: rise of the silver surfer,131921738.0,120000000.0,action,2007-06-15,2,2
557,the fantastic mr fox,21002919.0,40000000.0,adventure,2009-11-13,6,"2 squabs, 3 chickens, 1 rat"
559,fargo,24547547.0,7000000.0,thriller/suspense,1996-03-08,7,7
560,fast five,209837675.0,125000000.0,action,2011-04-29,35,35
561,fast times at ridgemont high,27092880.0,4500000.0,comedy,1982-08-13,1,1 fetus
564,fear and loathing in las vegas,10562387.0,18500000.0,comedy,1998-05-22,1,1 bat
565,feast,56131.0,3200000.0,horror,2006-09-22,17,"11 plus 3 monsters, 2 baby monsters and a monster cock"
569,3 men and a baby,164016972.0,15000000.0,comedy,1987-11-25,2,2
570,fido,298110.0,8000000.0,horror,2007-06-15,13,13
572,fight club,37030102.0,65000000.0,drama,1999-10-15,1,1
575,final destination,53302314.0,23000000.0,horror,2000-03-17,292,292
576,final destination 2,46896664.0,26000000.0,horror,2003-01-31,26,26
577,final destination 3,54098051.0,25000000.0,horror,2006-02-10,14,11 plus 2 fried bitches and a pigeon
579,final destination 5,42587643.0,40000000.0,horror,2011-08-12,94,94
581,finding nemo,380529370.0,94000000.0,adventure,2003-05-30,422,2 fish and 420 eggs
582,first blood,47212904.0,14000000.0,action,1982-10-22,5,"1 man, 3 dogs, 1 wild pig"
585,flash gordon,27107960.0,35000000.0,action,1980-12-05,57,56 (including 9 hawkmen and 1 lizard man) plus a swamp monster
587,flight,93772375.0,31000000.0,drama,2012-11-02,6,6
590,flushed away,64665672.0,149000000.0,comedy,2006-11-03,27,3 flies and 2 bowls of maggots
592,focus,53862963.0,65000000.0,romantic comedy,2015-02-27,0,0
595,for your eyes only,54800000.0,28000000.0,action,1981-06-26,45,"27, 1 British spy ship disguised as a fishing vessel, and one bitch banged"
598,formula 51,5204007.0,27000000.0,action,2002-10-18,16,"15 and 1 exploded Meatloaf, plus Samuel L. Jackson said motherfucker 5 times."
599,forrest gump,330151138.0,55000000.0,drama,1994-07-06,17,"13 plus Elvis, JFK, Bobby Kennedy, and John Lennon"
602,four brothers,74494381.0,30000000.0,drama,2005-08-12,14,14
607,freaky friday,110222438.0,26000000.0,comedy,2003-08-06,0,0
608,freddy vs jason,82490748.0,25000000.0,horror,2003-08-15,85,20 people and 65 maggots
609,freedom writers,36605602.0,21000000.0,drama,2007-01-05,3,3
