,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
244,riddick,42025135.0,38000000.0,action,2013-09-06,63.0,"9 humans, 3 Necromongers (aka Monger Lords), 1 alien bird, 2 alien jackals, 4 alien eels, 42 mud demons and 2 mud demon babies"
245,traitor,23530831.0,22000000.0,thriller/suspense,2008-08-27,63.0,63
248,iron man 3,408992272.0,200000000.0,action,2013-05-03,62.0,62 people and 1 exploding plant
249,spawn,54967359.0,40000000.0,action,1997-07-31,62.0,"39, 20 maggots, 2 worms and 1 Violator"
250,the world is not enough,126930660.0,135000000.0,action,1999-11-19,62.0,62 and 3 bitches banged
251,eagle eye,101440743.0,80000000.0,thriller/suspense,2008-09-26,61.0,61
254,the losers,23591432.0,25000000.0,action,2010-04-23,61.0,"40 and a teddy bear before the opening title, then 20 more"
255,goldeneye,105978900.0,60000000.0,action,1995-11-17,60.0,60 and 2 bitches banged
256,goldfinger,51100000.0,3000000.0,action,1964-12-22,60.0,60 and 2 bitches banged
257,sin city,74103820.0,40000000.0,action,2005-04-01,59.0,59
258,the punisher,33571379.0,33000000.0,action,2004-04-16,58.0,58
262,flash gordon,27107960.0,35000000.0,action,1980-12-05,57.0,56 (including 9 hawkmen and 1 lizard man) plus a swamp monster
263,jennifers body,16204793.0,16000000.0,thriller/suspense,2009-09-18,57.0,56 people and 1 succubus
264,pirates of the caribbean: dead mans chest,423315812.0,225000000.0,adventure,2006-07-07,57.0,56 and a hermit crab
265,django unchained,162805434.0,100000000.0,western,2012-12-25,56.0,"52 people, 4 horses and 5 motherfuckers"
266,shooter,47003582.0,60000000.0,thriller/suspense,2007-03-23,56.0,55 people and a dog
267,the boondock saints 2: all saints day,10273187.0,8000000.0,action,2009-10-30,56.0,56
268,the golden compass,70107728.0,205000000.0,adventure,2007-12-01,55.0,54 and an ice bear
271,batman,248972777.0,35000000.0,action,1989-06-23,54.0,54
273,grace,8297.0,5000000.0,horror,2009-08-14,53.0,"3 people, 2 rats and 48 flies"
274,robocop 3,10696210.0,22000000.0,action,1993-11-05,53.0,50 and 3 RoboNinjas
275,the book of eli,94835059.0,80000000.0,action,2010-01-15,53.0,51 plus a cat and a bird
276,the signal,251150.0,50000.0,horror,2008-02-22,53.0,53
278,alien: resurrection,47748610.0,60000000.0,action,1997-11-26,52.0,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid"
280,the long kiss goodnight,33430951.0,65000000.0,action,1996-10-11,52.0,"50, a deer, a cricket, and Samuel L. Jackson graced us with two motherfuckers."
281,the purge: anarchy,71562550.0,9000000.0,thriller/suspense,2014-07-18,52.0,52
282,after earth,60522097.0,130000000.0,action,2013-05-31,51.0,"21, 20 monkeys, 7 giant bird babies, 1 cave rat (eaten by a flying snake!), 1 giant bird and 1 URSA"
283,desperado,25405445.0,7000000.0,action,1995-08-25,51.0,51
284,kill bill: volume 1,70098138.0,55000000.0,action,2003-10-10,51.0,51
285,circle,10024.0,2000000.0,horror,2010-08-27,50.0,49 and a fetus
286,hobo with a shotgun,703372.0,3000000.0,action,2011-05-06,50.0,50
287,looper,66486205.0,30000000.0,action,2012-09-28,50.0,50
288,skyfall,304360277.0,200000000.0,action,2012-11-08,50.0,50 and 2 bitches banged
290,war inc,578527.0,10000000.0,black comedy,2008-05-23,50.0,49 and a scorpion
291,knight and day,76423035.0,117000000.0,action,2010-06-23,49.0,49
293,3000 miles to graceland,15738632.0,62000000.0,drama,2001-02-23,48.0,47 and a coyote
294,from paris with love,24077427.0,52000000.0,thriller/suspense,2010-02-05,48.0,48
295,kung pow: enter the fist,16033556.0,10000000.0,comedy,2002-01-25,48.0,"43 people, a dog, 2 moths, a big toe, a stomach plug and one French alien UFO"
296,lara croft: tomb raider: the cradle of life,65653758.0,90000000.0,adventure,2003-07-25,48.0,44 and 4 shadow guardians
300,x-men origins: wolverine,179883157.0,150000000.0,action,2009-05-01,48.0,47 and a bear
302,the happening,64506874.0,60000000.0,thriller/suspense,2008-06-13,47.0,47
309,for your eyes only,54800000.0,28000000.0,action,1981-06-26,45.0,"27, 1 British spy ship disguised as a fishing vessel, and one bitch banged"
310,ghost dog: way of the samurai,3330230.0,2000000.0,drama,2000-03-03,45.0,"18 people, 26 pigeons and 1 bear"
312,thunderball,63600000.0,9000000.0,action,1965-12-29,45.0,"44, a shark, and 3 bitches got banged"
314,underworld,51970690.0,22000000.0,action,2003-09-19,45.0,"15 vampires, 29 lycan and one half lycan, half vampire fetus"
315,bangkok dangerous,15298133.0,45000000.0,action,2008-09-05,44.0,43 and a scorpion
317,lucy,126573960.0,40000000.0,action,2014-07-25,44.0,"41, a bug, a fish and a gazelle"
322,behind enemy lines,58855732.0,40000000.0,action,2001-11-30,43.0,43
328,stake land,33245.0,4000000.0,horror,2011-04-22,43.0,"20 people, 20 vampires, a forest animal, a baby and a fetus"
329,the matrix,171383253.0,65000000.0,action,1999-03-31,43.0,"42, a tracer bug, and Neo's doubt"
331,mad max 2: the road warrior,24600832.0,2000000.0,action,1982-05-21,42.0,"39 people, a rabbit, a snake and a dog"
332,rubber,100370.0,500000.0,black comedy,2011-04-01,42.0,"36 people, 1 crow, 1 scorpion, 1 rabbit, 1 turkey, 1 spider and Robert the tire"
